id_data;data;ano;trimestre;mes;nome_mes;semana;dia;nome_dia;fds
20250101;2025-01-01;2025;1;1;Janeiro;1;1;Quarta;False
20250102;2025-01-02;2025;1;1;Janeiro;1;2;Quinta;False
20250103;2025-01-03;2025;1;1;Janeiro;1;3;Sexta;False
20250104;2025-01-04;2025;1;1;Janeiro;1;4;Sábado;True
20250105;2025-01-05;2025;1;1;Janeiro;1;5;Domingo;True
20250106;2025-01-06;2025;1;1;Janeiro;2;6;Segunda;False
20250107;2025-01-07;2025;1;1;Janeiro;2;7;Terça;False
20250108;2025-01-08;2025;1;1;Janeiro;2;8;Quarta;False
20250109;2025-01-09;2025;1;1;Janeiro;2;9;Quinta;False
20250110;2025-01-10;2025;1;1;Janeiro;2;10;Sexta;False
20250111;2025-01-11;2025;1;1;Janeiro;2;11;Sábado;True
20250112;2025-01-12;2025;1;1;Janeiro;2;12;Domingo;True
20250113;2025-01-13;2025;1;1;Janeiro;3;13;Segunda;False
20250114;2025-01-14;2025;1;1;Janeiro;3;14;Terça;False
20250115;2025-01-15;2025;1;1;Janeiro;3;15;Quarta;False
20250116;2025-01-16;2025;1;1;Janeiro;3;16;Quinta;False
20250117;2025-01-17;2025;1;1;Janeiro;3;17;Sexta;False
20250118;2025-01-18;2025;1;1;Janeiro;3;18;Sábado;True
20250119;2025-01-19;2025;1;1;Janeiro;3;19;Domingo;True
20250120;2025-01-20;2025;1;1;Janeiro;4;20;Segunda;False
20250121;2025-01-21;2025;1;1;Janeiro;4;21;Terça;False
20250122;2025-01-22;2025;1;1;Janeiro;4;22;Quarta;False
20250123;2025-01-23;2025;1;1;Janeiro;4;23;Quinta;False
20250124;2025-01-24;2025;1;1;Janeiro;4;24;Sexta;False
20250125;2025-01-25;2025;1;1;Janeiro;4;25;Sábado;True
20250126;2025-01-26;2025;1;1;Janeiro;4;26;Domingo;True
20250127;2025-01-27;2025;1;1;Janeiro;5;27;Segunda;False
20250128;2025-01-28;2025;1;1;Janeiro;5;28;Terça;False
20250129;2025-01-29;2025;1;1;Janeiro;5;29;Quarta;False
20250130;2025-01-30;2025;1;1;Janeiro;5;30;Quinta;False
20250131;2025-01-31;2025;1;1;Janeiro;5;31;Sexta;False
20250201;2025-02-01;2025;1;2;Fevereiro;5;1;Sábado;True
20250202;2025-02-02;2025;1;2;Fevereiro;5;2;Domingo;True
20250203;2025-02-03;2025;1;2;Fevereiro;6;3;Segunda;False
20250204;2025-02-04;2025;1;2;Fevereiro;6;4;Terça;False
20250205;2025-02-05;2025;1;2;Fevereiro;6;5;Quarta;False
20250206;2025-02-06;2025;1;2;Fevereiro;6;6;Quinta;False
20250207;2025-02-07;2025;1;2;Fevereiro;6;7;Sexta;False
20250208;2025-02-08;2025;1;2;Fevereiro;6;8;Sábado;True
20250209;2025-02-09;2025;1;2;Fevereiro;6;9;Domingo;True
20250210;2025-02-10;2025;1;2;Fevereiro;7;10;Segunda;False
20250211;2025-02-11;2025;1;2;Fevereiro;7;11;Terça;False
20250212;2025-02-12;2025;1;2;Fevereiro;7;12;Quarta;False
20250213;2025-02-13;2025;1;2;Fevereiro;7;13;Quinta;False
20250214;2025-02-14;2025;1;2;Fevereiro;7;14;Sexta;False
20250215;2025-02-15;2025;1;2;Fevereiro;7;15;Sábado;True
20250216;2025-02-16;2025;1;2;Fevereiro;7;16;Domingo;True
20250217;2025-02-17;2025;1;2;Fevereiro;8;17;Segunda;False
20250218;2025-02-18;2025;1;2;Fevereiro;8;18;Terça;False
20250219;2025-02-19;2025;1;2;Fevereiro;8;19;Quarta;False
20250220;2025-02-20;2025;1;2;Fevereiro;8;20;Quinta;False
20250221;2025-02-21;2025;1;2;Fevereiro;8;21;Sexta;False
20250222;2025-02-22;2025;1;2;Fevereiro;8;22;Sábado;True
20250223;2025-02-23;2025;1;2;Fevereiro;8;23;Domingo;True
20250224;2025-02-24;2025;1;2;Fevereiro;9;24;Segunda;False
20250225;2025-02-25;2025;1;2;Fevereiro;9;25;Terça;False
20250226;2025-02-26;2025;1;2;Fevereiro;9;26;Quarta;False
20250227;2025-02-27;2025;1;2;Fevereiro;9;27;Quinta;False
20250228;2025-02-28;2025;1;2;Fevereiro;9;28;Sexta;False
20250301;2025-03-01;2025;1;3;Março;9;1;Sábado;True
20250302;2025-03-02;2025;1;3;Março;9;2;Domingo;True
20250303;2025-03-03;2025;1;3;Março;10;3;Segunda;False
20250304;2025-03-04;2025;1;3;Março;10;4;Terça;False
20250305;2025-03-05;2025;1;3;Março;10;5;Quarta;False
20250306;2025-03-06;2025;1;3;Março;10;6;Quinta;False
20250307;2025-03-07;2025;1;3;Março;10;7;Sexta;False
20250308;2025-03-08;2025;1;3;Março;10;8;Sábado;True
20250309;2025-03-09;2025;1;3;Março;10;9;Domingo;True
20250310;2025-03-10;2025;1;3;Março;11;10;Segunda;False
20250311;2025-03-11;2025;1;3;Março;11;11;Terça;False
20250312;2025-03-12;2025;1;3;Março;11;12;Quarta;False
