id_audiencia;faixa_etaria;genero;nivel_renda
1;18-24;Masculino;Baixo
2;18-24;Masculino;Medio
3;18-24;Masculino;Alto
4;18-24;Feminino;Baixo
5;18-24;Feminino;Medio
6;18-24;Feminino;Alto
7;25-34;Masculino;Baixo
8;25-34;Masculino;Medio
9;25-34;Masculino;Alto
10;25-34;Feminino;Baixo
11;25-34;Feminino;Medio
12;25-34;Feminino;Alto
13;35-44;Masculino;Baixo
14;35-44;Masculino;Medio
15;35-44;Masculino;Alto
16;35-44;Feminino;Baixo
17;35-44;Feminino;Medio
18;35-44;Feminino;Alto
19;45-54;Masculino;Baixo
20;45-54;Masculino;Medio
21;45-54;Masculino;Alto
22;45-54;Feminino;Baixo
23;45-54;Feminino;Medio
24;45-54;Feminino;Alto
