id_regiao;pais;estado;cidade
1;Brasil;Pará;Vieira da Mata
2;Brasil;Acre;Pastor do Norte
3;Brasil;Alagoas;Câmara do Oeste
4;Brasil;Minas Gerais;Moreira
5;Brasil;Rondônia;Novaes
6;Brasil;Rio Grande do Sul;da Cunha dos Dourados
7;Brasil;Roraima;Barbosa
8;Brasil;Rio Grande do Sul;da Mota
9;Brasil;Mato Grosso do Sul;Sá de Martins
10;Brasil;Pernambuco;Vasconcelos
11;Brasil;Amapá;Ferreira
12;Brasil;Sergipe;Castro de Campos
13;Brasil;Rondônia;Barbosa
14;Brasil;Pernambuco;Rodrigues
15;Brasil;Minas Gerais;Fonseca
16;Brasil;Bahia;Sales Alegre
17;Brasil;Rio Grande do Norte;Martins
18;Brasil;Piauí;Marques do Galho
19;Brasil;Sergipe;Sampaio
20;Brasil;Rio Grande do Sul;Araújo de Fonseca
