id;data_evento;nome_canal;info_campanha;id_regiao;tipo_dispositivo;id_audiencia;impressoes;clicks;leads;conversoes;custo;receita;criado_em
31414;2025-08-06;meta ads;Leads|Promoção - Cartão|27992.3;19; computador;7;63742;4388;1029;169;9226.75;198145.44;2026-06-05 12:47:57.808029
10692;2025-02-24;Meta Ads;Conversão|Carrinho Abandonado - Seguro|49254.33;4; celular ;23;49148;1972;304;39;5850.59;25923.66;2026-06-05 12:47:25.637972
35504;2025-08-11;google ads;Tráfego|Conversão - Smartphone|19676.25;7;Celular;9;1476;58;14;1;71.24;1017.88;2026-06-05 12:48:04.301384
36516;2025-05-31;Email Marketing;Conversão|Conhecimento - Consultoria|18945.37;18; celular ;2;61382;970;146;29;4119.19;9452.55;2026-06-05 12:48:05.931657
30041;2025-04-02;GoogleAds;Leads|Geração de Lead - Notebook|29056.97;8;Tablet;22;70400;1715;160;22;7140.42;22103.42;2026-06-05 12:47:55.658638
6699;2025-12-05; TikTok Ads ;Leads|Geração de Lead - Notebook|29056.97;16;CELULAR;11;64268;4853;884;263;15771.19;379232.74;2026-06-05 12:47:19.297357
48474;2025-03-14;LinkedIn Ads;Leads|Geração de Lead - Notebook|27658.26;7;CELULAR;17;88234;6593;1531;392;6324.13;419187.78;2026-06-05 12:48:25.189049
47597;2025-08-21;Meta Ads;Conversão|Conhecimento - Consultoria|18945.37;5; celular ;9;1298;57;3;0;305.47;0.0;2026-06-05 12:48:23.849684
37581;2025-11-10;Linkedin Ads;Leads|Natal - Curso|23414.44;14;Tablet;24;60725;4787;919;95;31782.66;32143.52;2026-06-05 12:48:07.541568
24125;2025-07-13; TikTok Ads ;Leads|Geração de Lead - Notebook|29056.97;10;CELULAR;13;72763;4479;1078;290;10219.43;193447.1;2026-06-05 12:47:46.470709
49563;2025-12-05;GoogleAds;Conversão|Retenção - Streaming|21833.57;10; celular ;3;17724;961;192;33;1652.1;46052.77;2026-06-05 12:48:26.833176
41809;2025-12-29;META ADS;Leads|Geração de Lead - Notebook|29056.97;6;Computador;1;4416;315;39;6;843.35;6440.63;2026-06-05 12:48:14.821672
48400;2025-02-16;email marketing;Conhecimento|Black Friday - Cartão|31537.11;12;CELULAR;12;11994;263;34;5;1618.94;5120.64;2026-06-05 12:48:25.078247
14406;2025-12-12;google ads;Conhecimento|Conhecimento - Curso|41350.96;7;CELULAR;18;55284;3860;930;109;12096.53;67081.88;2026-06-05 12:47:31.445483
11900;2025-01-09;GoogleAds;Conhecimento|Conhecimento - Curso|41350.96;1;Celular;5;95829;7074;1156;177;33203.4;235848.97;2026-06-05 12:47:27.481518
36125;2025-04-19;email marketing;Leads|Conversão - Notebook|17121.39;16;Computador;20;81533;1392;321;91;6481.36;74393.38;2026-06-05 12:48:05.284394
36484;2025-12-10;meta ads;Conhecimento|Geração de Lead - Consultoria|47452.46;10;CELULAR;2;10910;214;38;11;629.25;13851.47;2026-06-05 12:48:05.882633
37924;2025-05-05; TikTok Ads ;Conhecimento|Black Friday - Cartão|31537.11;19;CELULAR;13;99365;4597;1143;210;24277.68;312793.47;2026-06-05 12:48:08.048407
40592;2025-08-10; GOOGLE ADS ;Conhecimento|Remarketing - Smartphone|27196.56;14;Tablet;9;35496;2451;467;104;14227.56;153788.27;2026-06-05 12:48:12.900790
35687;2025-07-30; TikTok Ads ;Leads|Conhecimento - Consultoria|13785.26;6;CELULAR;4;33722;2368;498;133;15671.67;98019.97;2026-06-05 12:48:04.585093
47035;2025-04-03;META ADS;Leads|Geração de Lead - Notebook|27658.26;7;Celular;8;69581;1135;260;58;8432.17;52811.84;2026-06-05 12:48:22.926360
42337;2025-08-17;meta ads;Conhecimento|Geração de Lead - Consultoria|47452.46;14;CELULAR;6;29989;899;161;30;6091.16;25742.08;2026-06-05 12:48:15.629117
38117;2025-11-26;email marketing;Conversão|Conhecimento - Consultoria|18945.37;18;Tablet;21;70004;4455;1094;320;28537.34;55377.87;2026-06-05 12:48:08.335243
5374;2025-07-10; GOOGLE ADS ;Conversão|Lançamento - Consultoria|19166.8;1; computador;20;65807;3710;547;43;23063.47;39006.62;2026-06-05 12:47:17.254880
16768;2025-12-24;META ADS;Leads|Conhecimento - Streaming|5411.44;20;Tablet;11;39414;663;122;9;2183.36;3183.97;2026-06-05 12:47:35.095272
17642;2025-10-28;GoogleAds;Conversão|Carrinho Abandonado - E-commerce|23497.06;5;TABLET;20;54641;2155;470;138;6050.9;105924.96;2026-06-05 12:47:36.428602
16808;2025-12-24;google ads;Conversão|Geração de Lead - Seguro|38516.28;10;Celular;9;80447;4668;501;64;34666.0;46572.64;2026-06-05 12:47:35.161600
42677;2025-06-02;Linkedin Ads;Conhecimento|Conversão - Seguro|8170.15;3;CELULAR;24;86383;2026;460;91;8986.17;12216.76;2026-06-05 12:48:16.146313
3858;2025-03-09;LinkedIn Ads;Conversão|Carrinho Abandonado - Seguro|49254.33;6; computador;22;96924;2847;247;42;18835.0;59649.58;2026-06-05 12:47:14.892959
21783;2025-02-28;Google Ads;Conhecimento|Geração de Lead - Streaming|19528.65;7; celular ;24;48197;2775;322;66;12707.87;87380.83;2026-06-05 12:47:42.852229
18278;2025-09-11;email marketing;Conversão|Retenção - Consultoria|11597.52;17;Tablet;5;17366;224;52;11;1257.57;10613.16;2026-06-05 12:47:37.390595
2795;2025-04-11;LinkedIn Ads;Conversão|Natal - Seguro|32105.21;6; celular ;11;47629;1929;184;29;1628.92;35794.02;2026-06-05 12:47:13.252597
